 # r1,r2 - radial coordinates of the segment    [m]        
 # z1,z2 - vertical coordinates of the segemnt  [m]        
 # rc,zc - coordinates of the segment center    [m]        
 # xc    - coordinate along the target (0 at SP)[m]        
 # ne    - electron density                     [m^-3]     
 # Te    - electron temperature                 [eV]       
 # Ti    - ion temperature                      [eV]       
 # Tn    - neurtal temperature                  [eV]       
 # flxi  - ion flux (only fuel ions)            [m^-2*s^-1]
 # flxn  - neutral flux (only fuel atoms)       [m^-2*s^-1]
 # prm   - molecule pressure (only fuel mol.)   [Pa]       
 # pwre  - electron power flux                  [W/m^2]    
 # pwri  - ion power flux (including recomb.)   [W/m^2]    
 # pwrn  - neutral power flux                   [W/m^2]    
 # pwrr  - radiation power flux                 [W/m^2]    
 #      r1            z1            r2            z2            rc            zc            xc            ne            Te            Ti            Tn           flxi          flxn          prm           pwre          pwri          pwrn          pwrr     
    5.554242E+00 -4.144994E+00  5.554230E+00 -4.084109E+00  5.554236E+00 -4.114552E+00  2.227471E-01  6.432322E+19  8.017778E+00  7.775674E+00  5.370088E+00  1.402385E+23  2.427470E+22  2.439532E-01  7.840482E+05  6.867707E+05  4.294509E+04  0.000000E+00
    5.554230E+00 -4.084109E+00  5.560216E+00 -4.031802E+00  5.557223E+00 -4.057956E+00  2.782383E-01  4.206732E+19  8.775558E+00  9.400378E+00  7.822349E+00  8.937466E+22  2.035769E+22  1.729324E-01  5.599301E+05  5.584562E+05  5.170640E+04  0.000000E+00
    5.560216E+00 -4.031802E+00  5.565705E+00 -3.956025E+00  5.562961E+00 -3.993914E+00  3.350050E-01  2.454873E+19  9.740256E+00  1.188456E+01  6.412682E+00  5.218195E+22  9.726474E+21  9.420804E-02  3.740367E+05  4.119923E+05  2.030144E+04  0.000000E+00
    5.565705E+00 -3.956025E+00  5.574835E+00 -3.789801E+00  5.570270E+00 -3.872913E+00  3.993170E-01  1.729023E+19  9.172196E+00  1.277816E+01  7.858927E+00  3.190517E+22  2.696244E+21  2.630938E-02  2.203818E+05  2.465029E+05  6.875182E+03  0.000000E+00
    5.574835E+00 -3.789801E+00  5.619616E+00 -3.641301E+00  5.597225E+00 -3.715551E+00  5.205425E-01  1.081052E+19  9.812998E+00  1.510208E+01  4.917717E+00  1.882182E+22  1.291705E+21  1.236772E-02  1.406590E+05  1.987548E+05  2.087583E+03  0.000000E+00
    5.619616E+00 -3.641301E+00  5.707572E+00 -3.489239E+00  5.663594E+00 -3.565270E+00  6.813322E-01  5.515635E+18  1.234602E+01  2.118752E+01  8.945766E+00  1.065263E+22  9.561165E+20  2.826897E-02  1.049458E+05  2.071382E+05  2.884088E+03  0.000000E+00
    5.707572E+00 -3.489239E+00  5.782582E+00 -3.409969E+00  5.745077E+00 -3.449604E+00  8.467183E-01  4.019730E+18  1.253890E+01  2.198160E+01  9.279818E+00  8.870960E+21  7.481360E+20  3.366534E-02  8.818962E+04  2.186421E+05  2.330909E+03  0.000000E+00
    5.782582E+00 -3.409969E+00  5.837319E+00 -3.366869E+00  5.809950E+00 -3.388419E+00  9.891190E-01  2.356531E+18  1.361351E+01  2.571418E+01  3.566196E+00  5.360429E+21  2.444312E+21  9.674218E-03  6.384180E+04  2.546848E+05  2.820871E+03  0.000000E+00
    5.837319E+00 -3.366869E+00  5.884888E+00 -3.333032E+00  5.861104E+00 -3.349950E+00  1.078520E+00  1.790955E+18  1.298141E+01  2.707225E+01  5.589053E+00  4.194257E+21  7.767406E+20  6.800360E-03  4.991947E+04  2.508235E+05  1.405318E+03  0.000000E+00
    5.884888E+00 -3.333032E+00  5.917898E+00 -3.315559E+00  5.901393E+00 -3.324296E+00  1.142543E+00  1.393883E+18  1.223209E+01  2.772058E+01  2.337523E+01  3.101883E+21  6.062811E+20  1.050045E-02  3.793652E+04  1.940904E+05  4.568142E+03  0.000000E+00
    5.917898E+00 -3.315559E+00  5.945268E+00 -3.302752E+00  5.931583E+00 -3.309156E+00  1.190406E+00  1.088489E+18  1.120135E+01  2.660779E+01  1.990933E+00  2.381092E+21  2.376891E+20  6.207158E-03  2.736520E+04  1.354115E+05  1.665287E+02  0.000000E+00
    5.945268E+00 -3.302752E+00  5.969158E+00 -3.291574E+00  5.957213E+00 -3.297163E+00  1.224189E+00  8.832449E+17  1.015130E+01  2.398151E+01  3.036335E+00  1.915448E+21  1.510722E+20  3.392956E-03  1.982625E+04  8.470655E+04  1.698117E+02  0.000000E+00
    5.969158E+00 -3.291574E+00  5.989571E+00 -3.282022E+00  5.979364E+00 -3.286798E+00  1.252487E+00  6.500423E+17  9.514168E+00  2.182790E+01  1.809149E+01  1.309078E+21  2.485697E+20  7.653072E-03  1.331515E+04  5.066570E+04  1.465285E+03  0.000000E+00
    5.989571E+00 -3.282022E+00  6.005239E+00 -3.275448E+00  5.997405E+00 -3.278735E+00  1.276943E+00  4.386745E+17  9.197159E+00  1.907466E+01  4.526892E+01  8.881977E+20  3.144173E+20  2.550292E-02  8.516564E+03  3.248705E+04  4.664131E+03  0.000000E+00
    6.005239E+00 -3.275448E+00  6.014843E+00 -3.272924E+00  6.010041E+00 -3.274186E+00  1.296707E+00  2.308048E+17  8.862590E+00  1.433110E+01  6.319190E+00  4.457677E+20  3.740994E+18  0.000000E+00  4.020745E+03  1.611003E+04  7.613921E+00  0.000000E+00
