Bin_Index,Flux_Ion,Flux_Atom,E_ion,E_atom,alpha_ion,alpha_atom,heat_total,heat_ion
0,5.170233333333333504e+18,3.264916666666666885e+20,3.334961141978003241e+01,6.173176508335557600e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.517381441300739534e+05,7.776380970176968610e+00
1,4.163160000000000000e+19,8.960000000000000000e+19,3.502401477796062323e+01,4.295137033556520834e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.508381903937685420e+05,7.725896372001184886e+01
