Flux_Ion                      	Flux_Atom                          	E_ion                          	E_atom              	alpha_ion           	alpha_atom         	heat_total
2.500000000000000000e+18	0.000000000000000000e+00	2.400000000000000000e+02	0.000000000000000000e+00	9.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+18	0.000000000000000000e+00	2.400000000000000000e+02	0.000000000000000000e+00	9.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+18	0.000000000000000000e+00	2.400000000000000000e+02	0.000000000000000000e+00	9.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+18	0.000000000000000000e+00	2.400000000000000000e+02	0.000000000000000000e+00	9.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+18	0.000000000000000000e+00	2.400000000000000000e+02	0.000000000000000000e+00	9.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+18	0.000000000000000000e+00	2.400000000000000000e+02	0.000000000000000000e+00	9.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+18	0.000000000000000000e+00	2.400000000000000000e+02	0.000000000000000000e+00	9.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+18	0.000000000000000000e+00	2.400000000000000000e+02	0.000000000000000000e+00	9.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+18	0.000000000000000000e+00	2.400000000000000000e+02	0.000000000000000000e+00	9.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+18	0.000000000000000000e+00	2.400000000000000000e+02	0.000000000000000000e+00	9.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+18	0.000000000000000000e+00	2.400000000000000000e+02	0.000000000000000000e+00	9.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+18	0.000000000000000000e+00	2.400000000000000000e+02	0.000000000000000000e+00	9.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+18	0.000000000000000000e+00	2.400000000000000000e+02	0.000000000000000000e+00	9.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+18	0.000000000000000000e+00	2.400000000000000000e+02	0.000000000000000000e+00	9.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+18	0.000000000000000000e+00	2.400000000000000000e+02	0.000000000000000000e+00	9.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+18	0.000000000000000000e+00	2.400000000000000000e+02	0.000000000000000000e+00	9.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+18	0.000000000000000000e+00	2.400000000000000000e+02	0.000000000000000000e+00	9.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+18	0.000000000000000000e+00	2.400000000000000000e+02	0.000000000000000000e+00	9.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+18	0.000000000000000000e+00	2.400000000000000000e+02	0.000000000000000000e+00	9.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+18	0.000000000000000000e+00	2.400000000000000000e+02	0.000000000000000000e+00	9.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+18	0.000000000000000000e+00	2.400000000000000000e+02	0.000000000000000000e+00	9.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+18	0.000000000000000000e+00	2.400000000000000000e+02	0.000000000000000000e+00	9.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+18	0.000000000000000000e+00	2.400000000000000000e+02	0.000000000000000000e+00	9.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+18	0.000000000000000000e+00	2.400000000000000000e+02	0.000000000000000000e+00	9.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+18	0.000000000000000000e+00	2.400000000000000000e+02	0.000000000000000000e+00	9.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+18	0.000000000000000000e+00	2.400000000000000000e+02	0.000000000000000000e+00	9.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+18	0.000000000000000000e+00	2.400000000000000000e+02	0.000000000000000000e+00	9.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+18	0.000000000000000000e+00	2.400000000000000000e+02	0.000000000000000000e+00	9.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+18	0.000000000000000000e+00	2.400000000000000000e+02	0.000000000000000000e+00	9.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+18	0.000000000000000000e+00	2.400000000000000000e+02	0.000000000000000000e+00	9.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
