Bin_Index,Flux_Ion,Flux_Atom,E_ion,E_atom,alpha_ion,alpha_atom,heat_total
18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
19,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
20,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
21,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
22,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
23,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
24,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
25,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
26,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
27,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
28,7.376625000000000000e+19,1.037995000000000000e+17,1.050799999999999983e+02,5.184159999999999968e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.121566500000000087e+04
29,1.849072000000000328e+20,3.498092000000000000e+19,1.365184000000000140e+02,5.685260020000199432e+01,6.000000000000000000e+01,4.500000000000000000e+01,6.395780000000000291e+04
30,4.763840000000000000e+20,8.988312500000001229e+19,1.481124999999999829e+02,4.786417500000000302e+01,6.000000000000000000e+01,4.500000000000000000e+01,6.552909999999999854e+04
31,1.923620466666666721e+21,6.391682333333333737e+21,4.437888991666667238e+01,2.418548066666666685e+01,6.000000000000000000e+01,4.500000000000000000e+01,5.029157833333333110e+04
32,7.515210538461538392e+22,1.588782416153846156e+23,2.901682615384615715e+01,1.796572923076923090e+01,6.000000000000000000e+01,4.500000000000000000e+01,6.124198692307692254e+05
