Bin_Index,Flux_Ion,Flux_Atom,E_ion,E_atom,alpha_ion,alpha_atom,heat_total
18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
19,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
20,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
21,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
22,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
23,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
24,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
25,7.376625000000000000e+19,1.037995000000000000e+17,1.050799999999999983e+02,5.184159999999999968e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.121566500000000087e+04
26,1.541216666666666557e+20,3.990260000000000000e+19,1.306723333333333414e+02,3.116083366666999765e+01,6.000000000000000000e+01,4.500000000000000000e+01,6.528536666666666133e+04
27,2.310855000000000164e+20,2.759840000000000000e+19,1.452875000000000227e+02,9.539024999999999466e+01,6.000000000000000000e+01,4.500000000000000000e+01,6.196644999999999709e+04
28,3.544940000000000000e+20,6.422725000000000000e+19,1.481440000000000055e+02,5.735694999999999766e+01,6.000000000000000000e+01,4.500000000000000000e+01,6.599705000000000291e+04
29,5.982740000000000655e+20,1.155390000000000000e+20,1.480809999999999889e+02,3.837140000000000128e+01,6.000000000000000000e+01,4.500000000000000000e+01,6.506114999999999418e+04
30,1.732371000000000033e+21,3.687520000000000000e+20,1.314462499999999920e+02,7.027807500000000118e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.215851750000000029e+05
31,5.954290000000000721e+21,1.316573666666666525e+21,9.721480000000001098e+01,5.188793333333333635e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.834140000000000000e+05
32,5.418158119999999312e+22,1.187051444444444439e+23,5.129778833333332955e+00,4.833563777777778014e+00,6.000000000000000000e+01,4.500000000000000000e+01,3.682430299999999697e+05
