Bin_Index,Flux_Ion,Flux_Atom,E_ion,E_atom,alpha_ion,alpha_atom,heat_total
43,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
44,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
45,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
46,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
47,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
48,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
49,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
50,6.280407971367199539e+19,6.620145000000000098e+21,9.083639999999999493e-01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.283086169333211728e+04
51,2.242151991272586936e+20,6.732065000000000623e+21,9.173879999999999812e-01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.314823678770242259e+04
52,5.403050793735501906e+20,7.479020000000000131e+21,9.475940000000000474e-01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.530172811222916789e+04
53,2.208583178426165494e+21,1.334849333333333115e+22,1.047868333333333402e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.512655196238342614e+04
54,2.670557509620773316e+22,9.151413333333333823e+22,1.257556666666666656e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.414724707196785312e+05
55,1.856127356829040179e+23,6.256237500000000247e+23,1.691464999999999996e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,8.594231094662238611e+05
56,1.495259881562629850e+23,3.227499999999999963e+23,2.216689999999999827e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.104699059144231724e+05
57,6.859590468566598759e+22,1.058841999999999997e+23,2.939320000000000377e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.558756025927275768e+05
58,9.812369934653312729e+21,3.255386666666666492e+21,5.611019999999999897e+01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.407048421549541526e+05
59,1.956480942110656168e+21,3.106266666666666885e+20,1.042976666666666716e+02,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.587109324962294777e+05
60,5.046455162923960893e+20,1.583722199999999836e+20,1.013088999999999942e+02,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,9.711827747881933465e+04
61,9.448961790637699891e+19,8.527373783333332582e+19,8.729295000000000471e+01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.456446663389969035e+04
