Bin_Index,Flux_Ion,Flux_Atom,E_ion,E_atom,alpha_ion,alpha_atom,heat_total
45,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
46,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
47,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
48,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
49,4.160149344043989402e+19,6.110249999999999934e+21,9.091139999999999777e-01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.240956573054603723e+04
50,1.212582350921699000e+20,6.948859999999999607e+21,9.107324999999999449e-01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.324660604201939350e+04
51,4.063044477563524874e+20,7.087734999999999640e+21,9.342595000000000205e-01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.368684563048723066e+04
52,1.411510814685975544e+21,1.056403999999999869e+22,1.017722500000000085e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.049211403089554005e+04
53,5.558294102756541071e+21,2.530609999999999672e+22,1.143750000000000044e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.905659896796740213e+04
54,9.169793740723412428e+22,3.414719000000000342e+23,1.381252499999999994e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.237137565228398307e+05
55,1.963501622548946181e+23,5.886466666666667320e+23,2.036309999999999842e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,9.257877070899542887e+05
56,9.622780121989766552e+22,2.051994999999999907e+23,2.225310000000000343e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.664870888581975596e+05
57,3.495748799440976504e+22,3.372767500000000003e+22,1.278912499999999852e+01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.584534680406483239e+05
58,4.651739176649647194e+21,1.050240000000000000e+21,8.231300000000000239e+01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.191002734605336154e+05
59,1.282617495535197618e+21,2.578219999999999672e+20,1.062896666666666761e+02,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.298338534136833041e+05
60,4.524665463990572155e+20,1.328768666666666557e+20,1.010031333333333237e+02,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,9.033600731247321528e+04
61,1.137691030028843254e+20,8.682527528571427226e+19,8.867382857142855812e+01,4.342239999999999611e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.541486026521016902e+04
