Bin_Index,Flux_Ion,Flux_Atom,E_ion,E_atom,alpha_ion,alpha_atom,heat_total
43,8.231286281454446707e+21,3.169479999999999948e+22,1.179340000000000055e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,6.218874780115302565e+04
44,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
45,5.099722122774628532e+22,1.634427499999999988e+23,1.279205000000000148e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.445589382375910354e+05
46,1.291097362777174023e+23,4.263234160000000003e+23,1.477195000000000036e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,6.131991050252279965e+05
47,5.917937255568080110e+22,1.335534899999999986e+23,1.381089666666666771e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.948110419562894385e+05
48,4.747133483087723024e+22,1.060741799999999878e+23,1.568021250000000144e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.412334557865835959e+05
49,2.434598743569713018e+22,3.324732499999999813e+22,2.247882000000000158e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.455527487528032216e+05
50,1.459103349818645493e+22,7.070949999999999541e+21,2.199159999999999826e+01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.913013041347615654e+05
51,4.513307259717690589e+21,1.347604999999999967e+21,7.316949999999999932e+01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.887925971852948132e+05
52,1.994556112277377647e+21,4.555100000000000000e+20,1.005999999999999943e+02,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.381052635017094435e+05
53,1.182652384210750800e+21,2.340350000000000000e+20,1.055729999999999933e+02,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,9.963956338957989647e+04
54,6.525033202108313108e+20,2.697155000000000164e+20,1.066479999999999961e+02,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.518938483023364097e+04
55,2.918512161170700042e+20,1.376843000000000000e+20,1.023114999999999952e+02,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,5.050189791369648447e+04
56,1.114028184165332255e+20,9.210674999999999181e+19,9.673657500000000198e+01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.314207678767523612e+04
57,3.150857147437690880e+19,9.065298174999999283e+19,8.303922500000000184e+01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.578229998070606234e+04
58,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
59,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
60,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
61,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
