Bin_Index,Flux_Ion,Flux_Atom,E_ion,E_atom,alpha_ion,alpha_atom,heat_total
45,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
46,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
47,6.409023115008440730e+19,6.620145000000000098e+21,9.083639999999999493e-01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.329841007068728868e+04
48,2.257419268463109734e+20,6.732065000000000623e+21,9.173879999999999812e-01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.330585792529047831e+04
49,7.679620132222684365e+20,8.422099999999999869e+21,9.687695000000000611e-01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.704610393429448595e+04
50,2.744578897858821882e+21,1.534015000000000007e+22,1.076830000000000176e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.722548177204591047e+04
51,2.533904317150218158e+22,9.151413333333333823e+22,1.257556666666666656e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.342332838828871027e+05
52,1.634481113421768745e+23,6.569516666666666542e+23,1.557676666666666598e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.524519755445116898e+05
53,1.763578884221965435e+23,4.590625000000000203e+23,2.183790000000000120e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,8.308246145831237081e+05
54,8.960856639729559824e+22,2.051994999999999907e+23,2.225310000000000343e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.343987781650299439e+05
55,4.803333163983309688e+22,6.038439999999999738e+22,3.586650000000000116e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.671241132877802593e+05
56,1.072392353199493952e+22,4.351259999999999607e+21,4.067464999999999975e+01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.150335638455957815e+05
57,2.962914362499599434e+21,7.595750000000000328e+20,9.379064999999999941e+01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.723028180729874002e+05
58,1.109550252377465029e+21,2.578219999999999672e+20,1.062896666666666761e+02,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.123150006324998540e+05
59,3.886166014947170058e+20,1.328768666666666557e+20,1.010031333333333237e+02,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.758821604329861293e+04
60,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
61,9.991815141363028787e+19,8.682527528571427226e+19,8.867382857142855812e+01,4.342239999999999611e+01,6.000000000000000000e+01,4.500000000000000000e+01,6.623339050696392951e+04
