315.16	0.3461
315.171	0.34613
315.181	0.34615
315.19	0.34617
315.201	0.34617
315.211	0.34616
315.22	0.34615
315.23	0.34613
315.241	0.34612
315.25	0.34611
315.26	0.3461
315.271	0.34601
315.28	0.34588
315.29	0.34579
315.301	0.34559
315.31	0.34527
315.32	0.34494
315.331	0.34469
315.341	0.34453
315.35	0.34447
315.361	0.34446
315.371	0.3444
315.38	0.34414
315.391	0.34394
315.401	0.34396
315.41	0.34397
315.421	0.34409
315.431	0.34426
315.44	0.34444
315.451	0.34453
315.461	0.34458
315.47	0.34459
315.48	0.34449
315.491	0.34443
315.5	0.3444
315.51	0.34424
315.521	0.34417
315.53	0.34412
315.54	0.34412
315.551	0.34417
315.56	0.3442
315.57	0.3442
315.581	0.34428
315.591	0.34427
315.6	0.34424
315.611	0.34422
315.621	0.34417
315.63	0.34382
315.641	0.34351
315.651	0.34327
315.66	0.3431
315.671	0.3429
315.681	0.34276
315.69	0.34285
315.701	0.34288
315.711	0.3431
315.72	0.3434
315.73	0.34378
315.741	0.34411
315.75	0.34438
315.76	0.34465
315.771	0.34498
315.78	0.34539
315.79	0.34586
315.801	0.34632
315.81	0.34669
315.82	0.34698
315.831	0.34719
315.841	0.3473
315.85	0.34724
315.861	0.3472
315.871	0.34704
315.88	0.34694
315.891	0.34677
315.901	0.34657
315.91	0.3463
315.921	0.34588
315.931	0.34544
315.94	0.34498
315.951	0.34453
315.961	0.34414
315.97	0.34408
315.98	0.34376
315.991	0.34331
316	0.34302
316.01	0.3429
316.021	0.34296
316.03	0.343
316.04	0.34327
316.051	0.34452
316.06	0.34526
316.07	0.34591
316.081	0.34638
316.091	0.34672
316.1	0.34702
316.111	0.34719
316.121	0.3473
316.13	0.3473
316.141	0.34722
316.151	0.34717
316.16	0.34715
316.171	0.34714
316.181	0.34716
316.19	0.3472
316.201	0.34723
316.211	0.34717
316.22	0.34696
316.23	0.34671
316.241	0.34645
316.25	0.34611
316.26	0.34575
316.271	0.34534
316.28	0.34485
316.29	0.34436
316.301	0.34394
316.31	0.34354
316.32	0.34312
316.331	0.3427
316.341	0.34225
316.35	0.34185
316.361	0.34148
316.371	0.34116
316.38	0.34098
316.391	0.34086
316.401	0.34082
316.41	0.34081
316.421	0.34068
316.431	0.34071
316.44	0.3407
316.451	0.34077
316.461	0.34088
316.47	0.34107
316.48	0.34135
316.491	0.3416
316.5	0.34183
316.51	0.34207
316.521	0.34235
316.53	0.34265
316.54	0.34292
316.551	0.3431
316.56	0.3433
316.57	0.3434
316.581	0.34336
316.591	0.34333
316.6	0.34321
316.611	0.34302
316.621	0.34278
316.63	0.34259
316.641	0.34246
316.651	0.34238
316.66	0.34232
316.671	0.34219
316.681	0.34197
316.69	0.3417
316.701	0.34138
316.711	0.34098
316.72	0.34051
316.73	0.34008
316.741	0.3397
316.75	0.33935
316.76	0.33906
316.771	0.3389
316.78	0.33879
316.79	0.33871
316.801	0.33873
316.81	0.3388
316.82	0.33886
316.831	0.339
316.841	0.33934
316.85	0.33972
316.861	0.34003
316.871	0.34035
316.88	0.3407
316.891	0.34105
316.901	0.34132
316.91	0.34145
316.921	0.34155
